"Metabolite","Replicate","nmol_in_Culture","Empirical_Formula","nmol_Carbon","nmol_Nitrogen"
"L-Valine","Smp_UCYNAnew_2",0.5031831696,"C5H11NO2",2.515915848,0.5031831696
"L-Valine","Smp_UCYNAnew_3",0.4553096728,"C5H11NO2",2.276548364,0.4553096728
"Melamine","Smp_UCYNAnew_1",0.00551351355,"C3H6N6",0.01654054065,0.0330810813
"Melamine","Smp_UCYNAnew_2",0.002851684011,"C3H6N6",0.008555052034,0.01711010407
"Melamine","Smp_UCYNAnew_3",0.001526023578,"C3H6N6",0.004578070733,0.009156141466
"Muramic acid","Smp_UCYNAnew_1",-1.268541204,"C9H17NO7",-11.41687084,-1.268541204
"Muramic acid","Smp_UCYNAnew_2",-2.181405499,"C9H17NO7",-19.63264949,-2.181405499
"Muramic acid","Smp_UCYNAnew_3",-1.892543279,"C9H17NO7",-17.03288951,-1.892543279
"N-Acetyl-D-glucosamine","Smp_UCYNAnew_1",0.0255782755,"C8H15NO6",0.204626204,0.0255782755
"N-Acetyl-D-glucosamine","Smp_UCYNAnew_2",0.01394968866,"C8H15NO6",0.1115975093,0.01394968866
"N-Acetyl-D-glucosamine","Smp_UCYNAnew_3",0.0106425791,"C8H15NO6",0.08514063281,0.0106425791
"N-Acetylmuramic acid","Smp_UCYNAnew_1",0.003620144338,"C11H19NO8",0.03982158772,0.003620144338
"N-Acetylmuramic acid","Smp_UCYNAnew_2",0.002769272546,"C11H19NO8",0.030461998,0.002769272546
"N-Acetylmuramic acid","Smp_UCYNAnew_3",0.002153268183,"C11H19NO8",0.02368595001,0.002153268183
"N6-Acetyl-L-lysine","Smp_UCYNAnew_1",0.00608660507,"C8H16N2O3",0.04869284056,0.01217321014
"N6-Acetyl-L-lysine","Smp_UCYNAnew_2",0.008667138647,"C8H16N2O3",0.06933710917,0.01733427729
"N6-Acetyl-L-lysine","Smp_UCYNAnew_3",0.007763708391,"C8H16N2O3",0.06210966713,0.01552741678
"N6-Methyladenine","Smp_UCYNAnew_1",0.001007897395,"C6H7N5",0.006047384369,0.005039486974
"N6-Methyladenine","Smp_UCYNAnew_2",0.000796822211,"C6H7N5",0.004780933266,0.003984111055
"N6-Methyladenine","Smp_UCYNAnew_3",0.0005106514094,"C6H7N5",0.003063908456,0.002553257047
"N6,N6,N6-Trimethyl-L-lysine","Smp_UCYNAnew_1",0.01978127304,"C9H20N2O2",0.1780314574,0.03956254608
"N6,N6,N6-Trimethyl-L-lysine","Smp_UCYNAnew_2",0.02371432884,"C9H20N2O2",0.2134289596,0.04742865768
"N6,N6,N6-Trimethyl-L-lysine","Smp_UCYNAnew_3",0.01908917378,"C9H20N2O2",0.171802564,0.03817834756
"O-Acetyl-L-serine","Smp_UCYNAnew_1",-4.545602944,"C5H9NO4",-22.72801472,-4.545602944
"O-Acetyl-L-serine","Smp_UCYNAnew_2",-5.296801345,"C5H9NO4",-26.48400672,-5.296801345
"O-Acetyl-L-serine","Smp_UCYNAnew_3",-5.441542105,"C5H9NO4",-27.20771052,-5.441542105
"O-Acetylcarnitine","Smp_UCYNAnew_1",0.00063380716,"C9H17NO4",0.00570426444,0.00063380716
"O-Acetylcarnitine","Smp_UCYNAnew_2",0.0008988599462,"C9H17NO4",0.008089739516,0.0008988599462
"O-Acetylcarnitine","Smp_UCYNAnew_3",0.0009907283563,"C9H17NO4",0.008916555206,0.0009907283563
"O-Propionylcarnitine","Smp_UCYNAnew_1",9.575902965e-05,"C10H19NO4",0.0009575902965,9.575902965e-05
"O-Propionylcarnitine","Smp_UCYNAnew_2",9.888685234e-05,"C10H19NO4",0.0009888685234,9.888685234e-05
"O-Propionylcarnitine","Smp_UCYNAnew_3",0.0001075433517,"C10H19NO4",0.001075433517,0.0001075433517
"Ophthalmic acid","Smp_UCYNAnew_1",0.005618982219,"C11H19N3O6",0.06180880441,0.01685694666
"Ophthalmic acid","Smp_UCYNAnew_2",0.002883736164,"C11H19N3O6",0.03172109781,0.008651208493
"Ophthalmic acid","Smp_UCYNAnew_3",0.002088058085,"C11H19N3O6",0.02296863894,0.006264174256
"Phosphocholine","Smp_UCYNAnew_1",0.00532987836,"C5H15NO4P",0.0266493918,0.00532987836
"Phosphocholine","Smp_UCYNAnew_2",0.00389237614,"C5H15NO4P",0.0194618807,0.00389237614
"Phosphocholine","Smp_UCYNAnew_3",0.003205932164,"C5H15NO4P",0.01602966082,0.003205932164
"Pipecolic acid","Smp_UCYNAnew_1",0.007914225563,"C6H11NO2",0.04748535338,0.007914225563
"Pipecolic acid","Smp_UCYNAnew_2",0.005606651859,"C6H11NO2",0.03363991116,0.005606651859
"Pipecolic acid","Smp_UCYNAnew_3",0.01250665219,"C6H11NO2",0.07503991314,0.01250665219
"Proline betaine","Smp_UCYNAnew_1",0.004896073307,"C7H13NO2",0.03427251315,0.004896073307
"Proline betaine","Smp_UCYNAnew_2",0.005099469558,"C7H13NO2",0.03569628691,0.005099469558
"Proline betaine","Smp_UCYNAnew_3",0.005028251361,"C7H13NO2",0.03519775953,0.005028251361
"Riboflavin-5-phosphate","Smp_UCYNAnew_1",0.00138405133,"C17H21N4O9P",0.02352887261,0.00553620532
"Riboflavin-5-phosphate","Smp_UCYNAnew_2",0.001842114173,"C17H21N4O9P",0.03131594094,0.007368456691
"Riboflavin-5-phosphate","Smp_UCYNAnew_3",0.001050358638,"C17H21N4O9P",0.01785609685,0.004201434552
"Sarcosine","Smp_UCYNAnew_1",3.117693275,"C3H7NO2",9.353079826,3.117693275
"Sarcosine","Smp_UCYNAnew_2",2.681073133,"C3H7NO2",8.043219399,2.681073133
"Sarcosine","Smp_UCYNAnew_3",2.733438228,"C3H7NO2",8.200314683,2.733438228
