"","metabolite","date","treatment","nmol","replicate","pn_nm","pc_nm","cn_ratio","nm_metab_per_pc_nm"
"163","Isethionic acid",2022-07-27,"RH",0.155465763145246,"230616_Smp_27July-RH_3",1987.74662666667,22657.5995466667,11.3986356423415,6.86152841676989e-06
"164","Isethionic acid",2022-07-27,"RL",0.132067279602118,"230616_Smp_27July-RL_1",1186.245581,11993.75234,10.1106824186349,1.10113395589856e-05
"165","Isethionic acid",2022-07-27,"RL",0.894836562020944,"230616_Smp_27July-RL_2",1450.355648,18072.54212,12.460765843827,4.95135967081616e-05
"166","Isethionic acid",2022-07-27,"RL",0.0741436979240875,"230616_Smp_27July-RL_3",2266.767342,21826.23696,9.62879451966271,3.39699866999371e-06
"167","Isethionic acid",2022-07-27,"ZF",0.523284078883203,"230616_Smp_27July-ZF_1",719.3131445,7946.02717,11.0466870107363,6.58548061424767e-05
"168","Isethionic acid",2022-07-27,"ZF",0.252890783108299,"230616_Smp_27July-ZF_2",662.2942942,7349.96006,11.0977251719769,3.44070962350643e-05
"169","Isethionic acid",2022-07-27,"ZF",0.534665207085387,"230616_Smp_27July-ZF_3",533.518494,5329.35629,9.9890750741248,0.0001003245378975
"170","Isethionic acid",2022-07-27,"ZH",0.466087455150958,"230616_Smp_27July-ZH_2",1119.460044,13829.30202,12.3535467783073,3.37028907516012e-05
"171","Isethionic acid",2022-07-27,"ZH",0.410049686209863,"230616_Smp_27July-ZH_3",1181.178816,10188.12289,8.6253857180588,4.02478150918597e-05
"172","Isethionic acid",2022-07-27,"ZL",0.632493864052397,"230616_Smp_27July-ZL_1",686.3991255,7511.747635,10.9437022221264,8.42006274419251e-05
"173","Isethionic acid",2022-07-27,"ZL",0.252107611795723,"230616_Smp_27July-ZL_2",770.5393265,7771.73842,10.0861022308898,3.24390243432464e-05
"174","Isethionic acid",2022-07-27,"ZL",0.575454599238866,"230616_Smp_27July-ZL_3",735.371196,8741.118965,11.886675753071,6.58330588501338e-05
"175","Thymine",2022-07-27,"C",1.2649483080789,"230616_Smp_27July-C_1",1185.426254,11479.2730866667,9.68366699145729,0.000110194112338712
"176","Thymine",2022-07-27,"C",0.133660376370287,"230616_Smp_27July-C_2",873.6222439,10625.53868,12.1626237818371,1.25791623743152e-05
"177","Thymine",2022-07-27,"C",0.0632765388514455,"230616_Smp_27July-C_3",517.7119853,5497.437682,10.618718202582,1.15101875658598e-05
"178","Thymine",2022-07-27,"LH",0.176266951682431,"230616_Smp_27July-LH_1",2010.09345,20020.74554,9.96010684975865,8.80421517421828e-06
"179","Thymine",2022-07-27,"LH",0.308960917407711,"230616_Smp_27July-LH_2",2574.28402,28262.54342,10.9787976774995,1.09318157540299e-05
"180","Thymine",2022-07-27,"LH",0.210061371223889,"230616_Smp_27July-LH_3",2662.613278,28495.09614,10.7019282054373,7.37184286699125e-06
"181","Thymine",2022-07-27,"LL",0.0994372098299855,"230616_Smp_27July-LL_1",939.6974365,9737.048695,10.3618976883311,1.02122535220602e-05
"182","Thymine",2022-07-27,"LL",0.269347791326943,"230616_Smp_27July-LL_2",966.664390666667,9603.34338,9.93451654237205,2.80472936006734e-05
"183","Thymine",2022-07-27,"LL",0.0351811857482816,"230616_Smp_27July-LL_3",1154.727914,10410.86432,9.01585922863557,3.3792761740921e-06
"184","Thymine",2022-07-27,"RH",0.736919790191137,"230616_Smp_27July-RH_2",2509.253898,31183.55714,12.4274220176981,2.3631678287461e-05
